id;eps;maxEps;NDF;|R-k+NN|;|k+NN|;k+NN;
0;0.0890202;1.11296;1.4;7;5;4,6,7,8,14,
1;0.579568;0.952609;0.8;4;5;2,5,13,12,7,
2;0.540003;0.841496;0.8;4;5;1,5,7,0,4,
3;0.166907;1.31609;1;5;5;11,10,9,8,14,
4;0.0890202;1.11296;1.4;7;5;0,6,7,8,14,
5;0.341345;0.826618;0.8;4;5;2,7,0,4,1,
6;0.104829;1.13096;1;5;5;0,4,8,14,7,
7;0.171978;1.04294;1.6;8;5;0,4,6,8,14,
8;0.166907;1.18582;1.8;9;5;14,6,0,4,3,
9;0.232176;1.36477;0.6;3;5;10,11,3,8,14,
10;0.228538;1.36209;0.6;3;5;9,11,3,8,14,
11;0.184459;1.32931;0.6;3;5;3,10,9,8,14,
12;1.04294;1.36477;0.4;2;5;13,1,2,5,7,
13;0.982735;1.3129;0.4;2;5;12,1,2,5,7,
14;0.166907;1.18582;1.8;9;5;8,6,0,4,3,
